PLATE,MJD,FIBERID,SiIV_FWHM,CIV_FWHM,HeII_FWHM,CIII_FWHM,MgII_FWHM,SiIV_EW,CIV_EW,HeII_EW,CIII_EW,MgII_EW,SiIV_Flux,CIV_Flux,HeII_Flux,CIII_Flux,MgII_Flux,SiIV_FWHM_ERR,CIV_FWHM_ERR,HeII_FWHM_ERR,CIII_FWHM_ERR,MgII_FWHM_ERR,SiIV_EW_ERR,CIV_EW_ERR,HeII_EW_ERR,CIII_EW_ERR,MgII_EW_ERR,SiIV_Flux_ERR,CIV_Flux_ERR,HeII_Flux_ERR,CIII_Flux_ERR,MgII_Flux_ERR
5207,56018,746,0.0,3994.875356300819,391.6819904808869,10158.15887321745,5575.735165782608,0.0,2.959196600293565,0.2425561693826314,9.91633753597224,28.12798284384129,0.0,86.92614918064386,6.94232237209668,263.3528437729831,475.1777957985727,-1.0,969.6221302727164,437.2630312859655,1017.6942071082476,419.5855456673826,-1.0,0.2999905910258533,0.213251707141463,0.7948337840216126,1.6568580051265285,-1.0,8.983744371711886,6.087138118582233,21.22413275685129,30.013829020394496
7745,58077,985,6559.69671592859,3401.2711720232787,1775.9487533734346,12914.70800082412,3461.491358089668,7.342431154007069,3.201420480742197,0.2323098265583429,20.48204730331585,22.73128875737717,162.74490226227448,71.94083016270206,5.215834096334804,450.7649678998815,342.92255692137417,226.75363972354944,1066.1213865731677,675.9254527650489,629.4807155018443,476.7523803333752,0.4783703150887923,0.3482479894974779,0.1971761357194226,0.7063262607613776,1.170313871326691,10.573498040869822,7.846188656825895,4.422974168183293,15.714334278844577,17.977030447302127
11303,58428,850,7133.188885408816,5064.768804969933,1411.4357291740894,11806.285356934282,4449.920319249004,8.121398123565813,5.866059241578796,0.1125532851418676,17.40215871788438,24.28804100183829,245.21441038306875,169.19791735205982,3.1922206879910293,479.2943154103445,511.9804732302997,278.5510992435179,601.1687226159584,690.9936270660851,551.1722678734623,371.0781863726706,0.3355812165442065,0.2684949501171614,0.0825716292100726,0.3808168363472806,1.701000457263344,10.357398545767763,7.623922295084725,2.339999204087704,10.446657871028576,35.85289258397361
757,52238,277,5140.232880444992,6721.594731361065,14086.198797406942,14672.28548763336,2640.974239907519,2.9972893721560503,3.5408796973792382,4.310332928405942,4.439295522244233,5.528644672618354,79.26028304354026,88.95866706444468,105.79518345980874,103.94425385351826,108.52632175030077,1428.393837405194,1273.7074447016803,69.81811354060846,4528.120886850928,1418.0877897836378,0.7652184167065481,0.6087674603837692,0.7323424893715256,0.7565896181528904,0.9757286872751968,20.415577245675983,15.159173059753384,18.16930243667357,17.777396921501854,19.17904266579844
7678,57282,598,3900.947571851811,3835.944602654148,0.0,15560.16189444692,7595.127804378193,2.847715054991286,4.142491973030335,0.0,19.98275260754003,29.59972912393264,82.51050549527162,120.08044041860546,0.0,537.131432892946,546.6274289391882,250.8166824509367,1028.4441125765334,-1.0,834.4444005300602,121.07144921581494,0.1278094295011203,0.4085730726435779,-1.0,1.1796010516814643,0.5539387725796576,3.66677891475436,11.452139834466948,-1.0,32.01683179121511,10.357165516534508
7915,57309,723,5702.864055525222,2784.610505479221,0.0,14443.20521643976,6843.108019208117,3.096274935169242,3.046081822558562,0.0,11.926859558448507,22.373728149251065,288.9636360263289,281.2957827136134,0.0,1081.7184245745077,1535.1290427280078,361.0826626743256,177.1354892927493,-1.0,814.1263702320293,536.9442280630528,0.137963976600461,0.1056946923200117,-1.0,0.3643882600010988,0.5357406089414365,12.877699509509853,10.009895199510112,-1.0,33.29404883061159,37.048149639332
11086,58401,856,2991.86937433966,7786.641416768876,0.0,14106.81455530612,4520.466768016021,2.342568644543352,7.136515763657023,0.0,21.023278440473,22.077454910412698,42.18673018206896,131.79444450808214,0.0,359.33895840351227,251.68617835526229,295.1937729796887,2184.8513052061776,-1.0,1046.0067587035728,341.5503073232114,0.3451699065082413,0.6454017273363721,-1.0,1.490949393775402,2.453450418147751,6.280879696734917,11.994115150733675,-1.0,25.783808124924175,30.18512578296047
934,52672,636,4480.477943294663,5903.821553713998,2227.4836061985784,9572.060131694145,3154.539497194301,2.805623702676564,2.9355553273817927,0.3419418988320988,10.718638190021975,4.8353846412441,197.72529441337355,195.11127870480303,22.106010368979145,669.7455721488775,235.1788372762433,253.98257470894032,664.84516273799,1561.4195158576672,1273.4533872182185,351.962383318991,0.1941712881434087,0.2354162622573781,0.2526165753071779,0.6098394960429028,0.5397605994803105,13.726959193660775,15.572118840994063,16.59618810088216,38.44113224708178,26.080578448060024
1887,53239,345,7977.59627536388,3822.3878698298,0.0,17365.972176672807,362.5436592012876,5.315067366485883,1.2392224221363155,0.0,13.56225615021074,1.3066307308893346,236.8977040275872,56.18937545593809,0.0,550.7578724993971,38.40119599994143,641.925877951247,933.368791905375,-1.0,813.0193799712324,1103.1103458591404,0.5874312107343753,0.2756929461382024,-1.0,0.6232077895294763,0.7246500103131868,26.17811686842572,12.366301350302166,-1.0,25.498228938091643,21.429895270364803
6674,56416,926,11865.399993214922,8861.010136025543,983.914240646254,13799.326481677646,4179.676877001276,14.74547488625171,27.49223647700576,0.4058349144655646,16.948881261921134,31.20591167608504,539.5482094054228,1005.5235973523208,14.66777700114764,609.412460766898,778.9502739666543,635.3415809238013,3036.3866376041988,6722.070373073248,278.0337790118583,409.5228974755287,0.6862194962982153,5.625178603246912,2.7542500451836003,0.4840482266833632,2.098388608802836,25.154699663254064,207.9381565382368,99.68814148051936,17.536867347742657,53.031899960819146
